[0003.47-0007.81] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0217.64-0224.14] 如读所示,计存器各位存储的二循之数同时向左移动移位。
[0224.14-0233.80] 从最高位B7移出的二循之数,X7,被移入到最低位B0,还会存入CF标志位。
[0233.80-0247.72] 我们在此基础上,再向左循环移动移位,从最高位B7移出的二循之数,X6,被移入到最低位B0,还会存入CF标志位。
[0247.72-0257.54] 接下来,请同学们按照我们刚刚介绍的不戴CF标志位的循环左移规则,完成该练习。
[0257.54-0266.96] 相信同学们都能正确完成,我们就不再坠述了。
[0267.56-0270.56] 再来看,戴CF标志位的循环右移。
[0270.56-0281.62] 对于戴CF标志位的循环右移,CF标志位存储的二循之数和计存器各位存储的二循之数同时向右移动。
[0281.62-0288.78] 为了方便描述,我们将CF标志位初始存储的二循之数计为XCF。
[0288.78-0295.28] 从CF标志位移出的二循之数,会被移入到计存器的最高位B7。
[0295.88-0301.88] 而从计存器最低位B0移出的二循之数,会被移入到CF标志位。
[0301.88-0307.20] 这样就构成了戴CF标志位的循环右移。
[0307.20-0311.30] 来看循环右移移位的情况,如都所示,
[0311.30-0319.52] CF标志位存储的二循之数和计存器各位存储的二循之数同时向右移动移位。
[0319.52-0326.52] 从CF标志位移出的二循之数,XCF,被移入到了计存器的最高位B7。
[0326.52-0334.18] 而从计存器最低位B0移出的二循之数,X0,被移入到CF标志位。
[0334.18-0339.01] 我们在此基础上,再向右循环移动移位。
[0339.01-0346.70] 从CF标志位移出的二循之数,X0,被移入到了计存器的最高位B7。
[0347.20-0354.20] 而从计存器最低位B0移出的二循之数,X1,被移入到CF标志位。
[0354.20-0363.06] 接下来,请同学们按照我们刚刚介绍的戴CF标志位的循环右移规则完成该练习。
[0363.06-0371.46] 相信同学们都能正确完成,我们就不再坠述了。
[0371.46-0375.34] 再来看戴CF标志位的循环左移。
[0375.84-0385.84] 对于戴CF标志位的循环左移,CF标志位存储的二循之数和计存器各位存储的二循之数同时向左移动。
[0385.84-0392.97] 从计存器的最高位B7移出的二循之数,会被移入到CF标志位。
[0392.97-0399.47] 而从CF标志位移出的二循之数,会被移入到计存器的最低位B0。
[0399.82-0404.32] 这样就构成了戴CF标志位的循环左移。
[0405.18-0407.68] 来看循环左移移位的情况。
[0407.68-0416.18] 如读所示,CF标志位存储的二循之数和计存器各位存储的二循之数同时向左移动移位。
[0416.18-0423.18] 从计存器的最高位B7移出的二循之数X7,被移入到CF标志位。
[0423.18-0430.18] 而从CF标志位移出的二循之数XCF,被移入到计存器的最低位B0。
[0431.57-0435.64] 我们在此基础上,再向左循环移动移位。
[0435.64-0442.64] 从计存器的最高位B7移出的二循之数X6,被移入到CF标志位。
[0442.64-0449.64] 而从CF标志位移出的二循之数X7,被移入到计存器的最低位B0。
[0449.64-0458.55] 接下来,请同学们按照我们刚刚介绍的戴CF标志位的循环左移规则,完成该练习。
[0458.55-0467.12] 相信同学们都能正确完成,我们就不再坠述了。
[0467.12-0470.78] 接下来,我们介绍循环移规的应用。
[0470.78-0476.44] 循环移规的应用主要有加密算法、哈西韩数、优化算法。
[0476.44-0484.94] 对于加密算法,通过循环移规可以实现数据的混淆和置换,增强加密算法的安全性。
[0485.50-0498.50] 对于哈西韩数,通过循环移规可以用来改变输入数据的排列顺序,以产生不同的哈西值,有利于增强哈西韩数的混淆性和扩散性。
[0498.50-0506.16] 对于优化算法,在某些算法中,循环移规可以用于优化性能和节省资源。
[0506.16-0513.66] 例如,在图形处理和数字信号处理中,循环移规可以用于加速算法的执行。
[0514.29-0523.51] 最后,我们简单介绍一下循环移规的C元实现,C元中并没有直接提供循环移规操作符。
[0523.51-0534.54] 通常情况下,可以使用一位运算操作符,例如左移或右移,以及位运算操作符,例如或运算来实现。
[0534.54-0545.54] 下面给出的就是一个利用C元的一位运算和位运算实现的循环左移韩数和循环右移韩数,以及相关的测试程序。
[0545.54-0551.70] 请同学们自行分析并上级验证,我们就不再坠述了。
[0551.70-0555.20] 好的,本节课到这里就结束了。
[0555.20-0571.37] 请同学们快速回忆一下,本节课的主要内容。
[0571.37-0573.87] 同学们,我们下节课见!
