[0003.02-0007.42] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0217.90-0228.38] 当然了,可以使用扩展操作码技术来实现电长操作码,也就是将地址码自断中的部分地址码作为操作码的一部分。
[0228.54-0237.10] 例如,将地址码自断中的该地址码作为操作码的一部分,共有如下2的四字方等于16个状态。
[0237.10-0240.69] 这样可以形成二地址指令。
[0240.69-0248.58] 现在的问题是,对于本地每条二地址指令的操作码的高四位,其曲直是什么呢?
[0248.58-0259.81] 我们给出曲直规则,那就是,短操作码不能是长操作码的前队,否则指令一码时就无法区分了。
[0260.58-0278.88] 我们来使用该规则,假设我们想给每条二地址指令的操作码的高四位曲直为1111,则该曲直就不能作为三地址指令的操作码,而是作为二地址指令的操作码的高四位,也可以理解成。
[0278.88-0289.07] 从三地址指令的操作码的16个状态中,取走四位曲直为1111的这个状态,作为二地址指令的操作码的高四位。
[0289.23-0297.79] 这样,就会减少一条三地址指令,因此,本地中的指令系统包含有15条三地址指令。
[0297.79-0318.77] 由于二地址指令的操作码的第四位,共有二的四次方的状态,而高四位只有一个状态,因此可以组合出一乘以二的四次方等于16个状态,每个状态后跟两个地址们作为一条二地址指令,因此共有16条二地址指令。
[0319.15-0332.35] 当然了,如果我们之前减少的是两条三地址指令,则可以扩展出二乘以二的四次方等于32条二地址指令,以此类推,我们就不再坠述了。
[0332.35-0341.06] 请同学们思考一下,参照上述思路,在本地目前的基础上,如何扩展出一地址指令呢?
[0344.10-0358.37] 相信很多同学都能想到,那就是将地址码自断中的该地址码作为操作码的一部分,共有如下二的四次方等于16个状态,这样可以形成一地址指令。
[0358.37-0366.62] 同样的问题又来了,对于本地,每条一地址指令的操作码的高八位,其取值是什么呢?
[0368.35-0378.91] 我们还是采用同样的取值规则,啊,那就是,短操作码不能是长操作码的前卷,否则指令一码时就无法区分了。
[0378.91-0381.52] 我们来使用该规则
[0381.52-0388.24] 假设我们想给每條一地之指令的操作码的高8位取之为1111 1111
[0388.24-0392.52] 则该取之就不能做为二地之指令的操作码
[0392.52-0396.32] 而是做为一地之指令的操作码的高8位
[0396.32-0401.48] 也可以理解成从二地之指令的操作码的16状态中
[0401.48-0405.56] 取走八辈起之为1111 1111的状态
[0405.56-0408.56] 作为一地址指令的操作码的高八位
[0408.56-0412.56] 这样就会减少一条二地址指令
[0412.56-0417.56] 因此,本利中的指令系统包含有15条二地址指令
[0417.56-0420.75] 由于一地址指令的操作码的第四位
[0420.75-0422.75] 共有二的四字方的状态
[0422.75-0425.75] 而高八位只有一个状态
[0425.75-0429.75] 因此,和组合出一乘以二的四字方等于16状态
[0429.75-0434.75] 每个状态后跟一个地址码作为一条一地址指令
[0434.75-0437.75] 因此,共有16条一地址指令
[0437.75-0441.88] 当然了,如果我们之前减少的是两条二地址指令
[0441.88-0447.88] 则可以扩展出二乘以二的四字方等于32条一地址指令
[0447.88-0450.94] 以此类推,我们就不再坠述了
[0450.94-0452.94] 请同学们思考一下
[0452.94-0454.94] 参照上述思路
[0454.94-0461.16] 在本利目前的基础上,如何扩展出零地址指令呢?
[0461.16-0468.96] 相信同学们都能完成,我们就不再坠述了
[0468.96-0471.96] 根据本利,我们从三地址指令的操作码中
[0471.96-0475.96] 取走一个状态,用于扩展出二地址指令
[0475.96-0478.96] 在扩展出的二地址指令的操作码中
[0478.96-0482.96] 取走一个状态,用于扩展出一地址指令
[0482.96-0486.00] 在扩展出的一地址指令的操作码中
[0486.00-0490.00] 取走一个状态,用于扩展出零地址指令
[0490.00-0494.00] 这样,就购建出了包含有15条三地址指令
[0494.00-0496.00] 15条二地址指令
[0496.00-0498.00] 15条一地址指令
[0498.00-0503.00] 16条零地址指令的某种16位定长指令系统
[0503.00-0507.06] 在指令系统中,通常会给比较常用的指令
[0507.06-0509.06] 分配矫短的操作码
[0509.06-0512.06] 以便减少指令的一码和分析时间
[0512.06-0517.09] 请同学们注意,本利中,我们仅仅给出了一种扩展方案
[0517.09-0520.09] 实际上,可以有更多种扩展方案
[0520.09-0524.09] 同学们可以通过下面这道立体来体会
[0524.09-0528.09] 请同学们暂停播放视频,认真审题
[0528.09-0538.65] 之后,我们来一起分析
[0538.65-0542.65] 通过我们之前的举例,可以得出以下规则
[0542.65-0544.65] 那就是,二地址指令的操作码
[0544.65-0548.65] 只能使用三地址指令不用的剩余状态
[0548.65-0550.65] 一地址指令的操作码
[0550.65-0553.65] 只能使用二地址指令不用的剩余状态
[0553.65-0555.65] 零地址指令的操作码
[0555.65-0558.65] 只能使用一地址指令不用的剩余状态
[0558.65-0563.65] 上述规则与图中的红色箭头所表达的意思是相同的
[0563.65-0566.65] 只不过总结为上述三条规则
[0566.65-0568.65] 更方便同学们记忆
[0568.65-0572.81] 竟然方便同学们利用上述规则来解题
[0572.81-0575.81] 题目给定,才用十六位定场指令
[0575.81-0579.81] 地址码自动最多包含三个位宽为四位的地址码
[0579.81-0584.81] 因此可以得出,三地址指令的操作码的位数为四
[0584.81-0587.81] 题目给定,三地址指令有十五条
[0587.81-0591.81] 因此可以得出,三地址指令的剩余状态数
[0591.81-0594.90] 计算如下
[0594.90-0599.90] 该式中,二的四次方,是四位操作码和组合出的状态数
[0599.90-0604.90] 其中十五个状态,用于题目要求的十五条,三地址指令
[0604.90-0608.90] 剩余一个状态,用于扩展二地址指令
[0608.90-0613.03] 题目给定,二地址指令有十二条
[0613.03-0617.03] 因此可以得出,二地址指令的剩余状态数
[0617.03-0619.60] 计算如下
[0619.60-0623.60] 该式中,二的四次方,是将地址码四段中的第一个四位地址码
[0623.60-0628.60] 作为二地址指令的操作码的第四位和组合出的状态数
[0628.60-0633.73] 乘以一,是将三地址指令的操作码的剩余一个状态
[0633.73-0639.73] 用来扩展出二地址指令,也就是作为二地址指令的高四位
[0639.73-0645.96] 这样,二地址指令的操作码就共有一乘以二的四次方的状态
[0645.96-0650.96] 其中,十二个状态用于题目要求的十二条二地址指令
[0650.96-0654.96] 剩余四个状态,用于扩展一地址指令
[0654.96-0659.05] 题目给定,一地址指令有六十三条
[0659.05-0663.05] 因此可以得出,一地址指令的剩余状态数
[0663.05-0665.56] 计算如下
[0665.56-0669.56] 该式中,二的四次方,是将地址自断中的第二个四位地址码
[0669.56-0674.56] 作为一地址指令的操作码的第四位和组合出的状态数
[0674.56-0679.76] 乘以四,是将二地址指令的操作码的剩余四个状态
[0679.76-0685.76] 用来扩展出一地址指令,也就是作为一地址指令的高八位
[0685.76-0691.92] 这样,一地址指令的操作码就共有四乘以二的四次方的状态
[0691.92-0696.92] 其中,六十三个状态,用于题目要求的六十三条一地址指令
[0696.92-0700.92] 剩余一个状态,用于扩展零地址指令
[0700.92-0706.92] 因此,我们就可以得出,题目所问的零地址指令的最大数量了
[0706.92-0709.78] 计算如下
[0709.78-0713.78] 该式中,二的四次方,是将地址自断中的第三个四位地址码
[0713.78-0718.78] 作为零地址指令的操作码的第四位和组合出的状态数
[0718.78-0723.97] 乘以一,是将一地址指令的操作码的剩余一个状态
[0723.97-0729.97] 用来扩展出零地址指令,也就是作为零地址指令的高十二位
[0729.97-0735.97] 这样,零地址指令的操作码就共有,一乘以二的四次方的状态
[0735.97-0738.97] 每个状态,用于表示一条零地址指令
[0738.97-0742.20] 至此,本题解答完毕
[0742.20-0748.20] 如果有的同学对本题上述文字方式的解离过程,还不太理解
[0748.20-0752.55] 请结合之前的图形化举例,进行理解
[0752.55-0757.55] 接下来,请同学们趁热打铁,挑战这道408考研真题
[0757.55-0763.77] 请同学们暂停播放视频,动手练习一下,然后给出你的答案
[0763.77-0775.73] 本题的答案是选项第,相信同学们都能正确完成,我们就不再坠述了
[0775.73-0779.28] 再来挑战这道408考研真题
[0779.28-0785.28] 请同学们暂停播放视频,动手练习一下,然后给出你的答案
[0785.28-0793.88] 本题的答案是选项A,大家都选对了吗?
[0793.88-0798.88] 我们来一起分析一下,题目给定,指令字长固定
[0798.88-0803.88] 指令系统中只包含有三地址指令和二地址指令
[0803.88-0810.98] 每个地址字段为六位,这里应该理解成本课程所介绍的地址字段中
[0810.98-0812.98] 每个地址码为六位
[0812.98-0818.46] 根据上述给定条件,我们可以得出如图所示的指令格式
[0818.46-0823.00] 题目要求我们给出指令字长的最小程度
[0823.00-0828.00] 不难看出,只要我们求出三地址指令的操作码的最小程度
[0828.00-0832.00] 就可以求出指令字长的最小程度
[0832.00-0836.04] 题目给定,三地址指令为29条
[0836.04-0840.04] 因此,三地址指令的操作码至少为5位
[0840.04-0844.04] 这样可以有二的五次方等于32个状态
[0844.04-0847.04] 每个状态用于表示一条三地址指令
[0847.04-0850.04] 除去题目要求的29条三地址指令
[0850.04-0854.04] 可剩余三个状态用于扩展二地址指令
[0854.04-0858.04] 题目给定,二地址指令为107条
[0858.04-0861.04] 将地址码字段中的第一个六位地址码
[0861.04-0864.04] 作为二地址指令的操作码的第六位
[0864.04-0867.04] 和组合出的状态数为二的六次方
[0867.04-0870.07] 将三地址指令剩余的三个状态
[0870.07-0873.07] 也就是三个不同的五位二地址组合
[0873.07-0876.07] 作为二地址指令的高五位
[0876.07-0879.07] 这样共有三乘以二的六次方
[0879.07-0881.07] 等于192个状态
[0881.07-0884.07] 每个状态用于表示一条二地址指令
[0884.07-0888.07] 大于题目要求的107条二地址指令
[0888.07-0890.07] 因此满足体义
[0890.07-0892.07] 二地址指令的剩余状态
[0892.07-0895.07] 还可以用于扩展一地址指令
[0895.07-0897.07] 我们就不再坠述了
[0897.07-0899.07] 这样我们就可以得出
[0899.07-0902.07] 本题中的指令字长为23位了
[0902.07-0905.07] 然而四个选项没有一个符合
[0905.07-0907.07] 再次审题
[0907.07-0908.07] 我们会发现
[0908.07-0910.07] 题目给定按字节编织
[0910.07-0914.07] 我们知道指令是存储在存储器中的
[0914.07-0916.07] 存储器按字节编织
[0916.07-0920.07] 因此指令字长应该是字节的整数倍
[0920.07-0925.16] 我们将23位指令字长调整为24位指令字长
[0925.16-0929.16] 这样就可以满足指令字长是字节的整数倍
[0929.16-0932.16] 也就是可以整除8比克
[0932.16-0934.16] 通上所述
[0934.16-0936.16] 本题的答案是选项A
[0936.16-0939.39] 好的,本节课到这里就结束了
[0939.39-0942.39] 请同学们快速回忆一下
[0942.39-0944.39] 本节课的主要内容
[0944.39-0965.53] 同学们,我们下节课见
