[0003.76-0008.20] 同学们好,欢迎大家来到我的计算机组成员里维克唐
[0216.31-0220.26] 等于真值X加上二的N次方
[0220.26-0223.08] 我们来举例说明
[0223.08-0227.56] 例如X等于正的1010110
[0227.56-0233.67] 则期以码可用该式写出
[0233.67-0237.03] 将二的七次方写成二净之形式
[0237.03-0240.46] 借比特一的后面跟七个比特零
[0240.46-0243.02] 最后可得X的以码表示为
[0243.02-0245.56] 11010110
[0245.64-0250.79] 不要忘记用逗号将符号位和数值位隔开
[0250.79-0255.42] 又例如X等于副的1010110
[0255.42-0261.69] 则期以码可用该式写出
[0261.69-0265.13] 将二的七次方写成二净之形式
[0265.13-0268.70] 借比特一的后面跟七个比特零
[0268.70-0271.10] 最后可得X的以码表示为
[0271.10-0273.75] 00101010
[0273.75-0278.89] 不要忘记用逗号将符号位和数值位隔开
[0278.97-0279.93] 接下来
[0279.93-0282.17] 请同学们按以码的定义
[0282.17-0289.34] 完成以下练习
[0289.34-0291.66] 相信大家都能正确完成
[0291.66-0294.06] 我们就不再坠述了
[0294.06-0295.02] 接下来
[0295.02-0297.26] 再请同学们按以码的定义
[0297.26-0299.10] 完成以下练习
[0299.10-0306.95] 看看会出现什么有趣的现象
[0306.95-0307.83] 没错
[0307.83-0312.76] 可以发现真之灵在以码中只有一种表示
[0312.76-0313.64] 接下来
[0313.64-0317.78] 我们将以码与补码做一个简单的比较
[0317.78-0319.14] 如读所示
[0319.22-0322.02] 这是机器自成为四位的情况下
[0322.02-0324.02] 原码、反码、补码
[0324.02-0326.87] 各自在数轴上的数据表示
[0326.87-0328.31] 这三种机器码
[0328.31-0331.06] 我们在上节课进行了对比
[0331.06-0331.86] 下面
[0331.86-0334.42] 我们可通过以码定义式的计算
[0334.42-0338.10] 画出以码在数轴上的数据表示
[0338.10-0340.82] 对比以码和补码不能看出
[0340.82-0343.06] 从一个真值的以码和补码
[0343.06-0345.05] 仅符号位相反
[0345.05-0345.85] 例如
[0345.85-0349.35] 这是真值附六的补码和以码
[0349.43-0353.08] 这是真值正六的补码和以码
[0353.08-0357.35] 这是真值零的补码和以码
[0357.35-0361.19] 还可以看到最小真值的以码为全零
[0361.19-0363.75] 最大真值的以码为全一
[0363.75-0366.06] 这符合人们的习惯
[0366.06-0367.26] 换句话说
[0367.26-0370.94] 以码保持了真值原有的大小顺序
[0370.94-0373.72] 可以直接比较大小
[0373.72-0376.20] 鉴于以码的上述优点
[0376.20-0379.56] 当辅典数的接码用以码来表示时
[0379.56-0383.18] 就能很方便的比较接码的大小
[0383.18-0384.94] 由于辅典数的内容
[0384.94-0386.94] 我们还未详细介绍
[0386.94-0387.82] 因此
[0387.82-0390.14] 目前仅大概了解即可
[0390.14-0393.18] 请同学们不要钻牛角尖
[0393.18-0393.98] 好的
[0393.98-0396.38] 本节课到这里就结束了
[0396.38-0400.81] 我们将本节课的内容小节如下
[0400.81-0401.69] 同学们
[0401.69-0403.29] 我们下节课见
