[0003.15-0007.75] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0247.97-0249.89] 對於相對循指方式
[0249.89-0251.41] 在取指令時
[0251.41-0253.81] 操作數不會隨指令一切
[0253.81-0258.72] 被讀取並送到CPU內的指令計存器iR中
[0258.72-0261.36] 在指令一碼或執行階段
[0261.36-0265.92] 會計算操作數的主存地址或轉移目標地址
[0265.92-0267.20] 總上所說
[0267.20-0270.82] 可以得到相對循指方式的特點和用途
[0270.82-0271.86] 那就是
[0271.86-0273.22] 程序設計時
[0273.30-0277.38] 只需給定指令與操作數之間的相對距離
[0277.38-0282.00] 而不必關心操作數在主存中的絕對地址
[0282.00-0284.72] 可用於實現共享代碼的浮動
[0284.72-0286.88] 進而有利於代碼重用
[0286.88-0288.00] 內存管理
[0288.00-0290.02] 程序移植
[0290.02-0292.50] 相對循指方式的另一個用途就是
[0292.50-0295.18] 實現程序跳轉執行
[0295.18-0298.14] 再來看辨指方式
[0298.14-0300.06] 在辨指方式下
[0300.06-0302.22] 形式地址自動之前
[0302.22-0304.77] 是記存器編號自動
[0304.85-0307.09] 指令中的詢指方式自動的值
[0307.09-0310.37] 用來表明辨指方式的特徵碼
[0310.37-0312.19] 例如110
[0312.19-0314.11] 這也相應指出了
[0314.11-0316.51] 需要用指令記存器中的內容
[0316.51-0318.19] 加上形式地址
[0318.19-0321.17] 來形成操作數的主存地址
[0321.17-0322.45] 總上所說
[0322.45-0324.29] 在辨指詢指方式下
[0324.29-0328.96] 操作數與指令是分開存放在主存中的
[0328.96-0331.20] 指令中的記存器編號n
[0331.20-0334.56] 指明是用CPU內部哪個記存器
[0334.72-0336.88] 可以是通用記存器
[0336.88-0338.64] 或專用記存器
[0338.64-0340.96] 來存放變化的地址
[0340.96-0344.22] 該記存器稱為辨指記存器
[0344.22-0345.74] 其內部存放的地址
[0345.74-0347.42] 與形式地址相加
[0347.42-0350.22] 即可得到操作數的主存地址
[0350.22-0351.90] 例如下手所示
[0351.90-0353.98] 這是主存中分開存放的
[0353.98-0355.66] 某條辨指詢指指令
[0355.66-0357.94] 和其相關的操作數
[0357.94-0361.18] 這是CPU內的通用記存器組
[0361.18-0363.66] 這是存放在某個通用記存器中的
[0363.66-0365.18] 可變化的地址
[0365.18-0368.80] 或者說可被用戶修改的地址
[0368.80-0370.96] 主存中的這條辨指詢指指令的
[0370.96-0372.88] 記存器編號字段的值
[0372.88-0374.64] 給出了可變化地址
[0374.64-0377.34] 所在的辨指記存器的編號
[0377.34-0380.06] 將該記存器中的可變化地址
[0380.06-0382.86] 加上這條辨指詢指指令的
[0382.86-0384.86] 形式地址字段的值
[0384.86-0386.94] 即可得到該辨指詢指指令的
[0386.94-0389.38] 操作數的主存地址
[0389.38-0391.02] 因此可知
[0391.02-0392.70] 在取指令時
[0392.78-0395.02] 操作數不會隨指令一切
[0395.02-0397.58] 被讀取並送到CPU內的
[0397.58-0400.05] 指令記存器Ir中
[0400.05-0401.73] 在指令執行時
[0401.73-0403.41] 需要訪問一次主存
[0403.41-0405.68] 以獲取操作數
[0405.68-0406.88] 中上所說
[0406.88-0408.32] 可以得到辨指詢指方式的
[0408.32-0410.24] 測點和用途
[0410.24-0413.52] 那就是辨指記存器的內容可變
[0413.52-0415.60] 而形式地址字段的值
[0415.60-0418.08] 設定號在指令執行過程中
[0418.08-0420.06] 將保持不變
[0420.06-0421.58] 辨指記存器的位數
[0421.66-0424.14] 大於形式地址字段的位數
[0424.14-0426.14] 擴大了詢指範圍
[0426.14-0430.38] 也就是可以表示整個存主空間
[0430.38-0431.74] 辨指詢指方式
[0431.74-0434.86] 主要應用於對數組元素的訪問
[0434.86-0436.62] 將數組的手地址
[0436.62-0439.50] 複製給指令中的形式地址字段
[0439.50-0442.06] 然後使辨指記存器中的值
[0442.06-0443.66] 按順序變化
[0443.66-0445.90] 就可以對數組中的各元素
[0445.90-0448.26] 進行相同的操作了
[0448.26-0449.62] 下面給出的是
[0449.62-0451.06] 英特爾X86中
[0451.06-0454.10] 才用辨指詢指方式的指令舉例
[0454.10-0457.86] 將32位通用記存器ESI中的值
[0457.86-0459.86] 加上偏異量32
[0459.86-0462.24] 來形成主存地址
[0462.24-0463.52] 再將主存地址
[0463.52-0465.92] 所指向主存單人中的內容
[0465.92-0470.51] 送入32位通用記存器Eax
[0470.51-0473.28] 再來看機子詢指方式
[0473.28-0475.60] 指令中的詢指方式字段的值
[0475.60-0478.72] 用來表明機子詢指方式的特徵嘛
[0478.72-0480.64] 例如111
[0480.64-0482.32] 這也相應指出了
[0482.32-0484.56] 需要用指令記存器中的內容
[0484.56-0486.00] 加上形式地址
[0486.00-0489.02] 來形成操作數的主存地址
[0489.02-0491.50] 相信很多同學已經發現了
[0491.50-0494.86] 除用來表明詢指方式的特徵滿外
[0494.86-0499.10] 機子詢指方式與辨指詢指方式是相同的
[0499.10-0501.50] 都是用指令記存器中的內容
[0501.50-0503.02] 加上形式地址
[0503.02-0505.90] 來形成操作數的主存地址
[0505.90-0506.86] 沒錯
[0506.86-0508.54] 從表面形式上看
[0508.54-0510.38] 它們是相同的
[0510.38-0512.10] 然而
[0512.10-0514.26] 對於辨指詢指方式
[0514.26-0516.02] 記存器編號字段的值
[0516.02-0518.90] 給出的是辨指記存器的編號
[0518.90-0520.42] 辨指記存器的內容
[0520.42-0521.94] 可被用戶修改
[0521.94-0523.78] 而形式地址字段的值
[0523.78-0524.66] 設定後
[0524.66-0528.24] 在指令執行過程中將保持不變
[0528.24-0530.82] 對於機子詢指方式
[0530.82-0532.74] 記存器編號字段的值
[0532.74-0535.81] 給出的是機子記存器的編號
[0535.81-0537.49] 機子記存器的內容
[0537.49-0538.45] 設定後
[0538.45-0540.53] 其內容保持不變
[0540.53-0542.45] 而形式地址字段的值
[0542.45-0544.53] 可由用戶改變
[0544.53-0545.73] 不難發現
[0545.73-0547.73] 辨指詢指和機子詢指
[0547.73-0550.21] 這兩種操作數的詢指方式
[0550.21-0551.89] 除了上述不同外
[0551.89-0555.01] 二者的詢指過程是完全相同的
[0555.01-0557.23] 我們就不再追述了
[0557.23-0558.59] 總上所說
[0558.59-0561.63] 辨指詢指方式是面向用戶的
[0561.63-0564.43] 主要用於處理程序循環問題
[0564.43-0567.23] 例如對數字元素的訪問
[0567.23-0569.07] 程序執行過程中
[0569.07-0570.51] 用戶可以改變
[0570.51-0572.03] 辨指記存器的內容
[0572.03-0575.46] 來實現指令或操作數的詢指
[0575.46-0578.90] 而機子詢指方式是面向系統的
[0578.90-0581.71] 主要用於程序的重定位
[0581.71-0583.71] 對於多道程序設計
[0583.71-0586.59] 用戶編程使用的是虛擬遞置
[0586.59-0588.35] 當系統管理程序
[0588.35-0590.99] 將用戶程序載入主存時
[0590.99-0594.50] 會為每個用戶程序分配一個基地址
[0594.50-0596.90] 當某個用戶程序運行時
[0596.90-0598.58] 分配給其的基地址
[0598.66-0601.06] 被載入機子基存器
[0601.06-0602.74] 通過機子詢指方式
[0602.74-0606.45] 實現虛擬遞置到物理遞置的轉換
[0606.45-0609.33] 用戶通過改變指令中的形式遞置
[0609.33-0612.53] 來實現指令或操作數的詢指
[0612.53-0614.45] 而機子記存器的內容
[0614.45-0617.49] 只能由操作系統或系統管理程序
[0617.49-0620.05] 通過特權指令來設置
[0620.05-0621.81] 對用戶透明
[0621.81-0624.05] 也就是不可見
[0624.05-0625.01] 這次
[0625.01-0627.33] 有的同學可能已經發現了
[0627.33-0628.45] 機子詢指
[0628.45-0629.49] 變指詢指
[0629.49-0630.45] 相對詢指
[0630.45-0631.89] 這三種方式
[0631.89-0633.89] 計算操作數有效遞置
[0633.89-0638.22] 也就是主存遞置的方法是類似的
[0638.22-0640.30] 對於機子詢指方式
[0640.30-0642.30] 適用機子記存器的內容
[0642.30-0644.54] 加上形式遞置自斷的值
[0644.54-0647.47] 來得到操作數的有效遞置
[0647.47-0649.39] 對於變指詢指方式
[0649.39-0651.23] 適用變指記存器的內容
[0651.23-0653.79] 加上形式遞置自斷的值
[0653.79-0656.69] 來得到操作數的有效遞置
[0656.77-0658.61] 對於相對詢指方式
[0658.61-0661.09] 適用程序技術器PC的內容
[0661.09-0663.33] 加上形式遞置自斷的值
[0663.33-0666.35] 來得到操作數的有效遞置
[0666.35-0668.35] 上述三種詢指方式
[0668.35-0670.43] 都是用某個記存器的內容
[0670.43-0673.63] 加上指令中的形式遞置自斷的值
[0673.63-0675.47] 也就是偏移量
[0675.47-0678.19] 來得到操作數的有效遞置
[0678.19-0679.15] 因此
[0679.15-0681.55] 通常將這三種詢指方式
[0681.55-0684.61] 統稱為偏移詢指
[0684.61-0687.55] 再來看對戰詢指方式
[0687.55-0689.71] 對存放在堆戰中的操作數
[0689.71-0691.39] 進行詢指的方法
[0691.39-0693.38] 稱為堆戰詢指
[0693.38-0695.94] 堆戰一般分為以下兩種
[0695.94-0698.16] 一種是記存器堆戰
[0698.16-0700.40] 它是在專用記存器組中
[0700.40-0701.84] 劃分出來的一塊
[0701.84-0703.44] 按後勁先出規則
[0703.44-0705.12] 管理的存儲區
[0705.12-0707.15] 也稱為硬堆戰
[0707.15-0708.83] 因此成本較高
[0708.83-0710.91] 不適合做大容量堆戰
[0710.91-0712.59] 小小使用
[0712.59-0714.99] 另一種是存儲器堆戰
[0714.99-0716.59] 它是在主層空間中
[0716.67-0718.11] 劃分出來的一塊
[0718.11-0721.07] 按後勁先出規則管理的存儲區
[0721.07-0723.26] 也稱為軟堆戰
[0723.26-0726.62] 目前計算機普遍採用這種堆戰
[0726.62-0728.14] 由於存儲器堆戰
[0728.14-0730.46] 是在主存中劃分出來的一塊
[0730.46-0732.14] 特定存儲區
[0732.14-0735.82] 而主存是基於地址進行訪問的
[0735.82-0738.86] 因此需要使用一個特定的記存器
[0738.86-0742.06] 來記錄堆戰中存儲單元的地址
[0742.06-0745.81] 單記存器稱為堆戰指針SP
[0745.81-0748.38] 我們來體力說明
[0748.38-0750.46] 假設在某個計算機中
[0750.46-0753.74] 堆戰指針SP指向佔領單元
[0753.74-0755.42] 佔向下增長
[0755.42-0757.97] 也就是向低地址增長
[0757.97-0760.37] 主存按字節編指
[0760.37-0763.42] 佔操作以字節為單位
[0763.42-0765.44] 如同所示
[0765.44-0769.14] 這是主存的地址的增長方向
[0769.14-0771.62] 這是在主存中劃分出來的一塊
[0771.62-0773.06] 特定的存儲區
[0773.06-0775.58] 作為佔出式狀態
[0775.58-0777.66] 佔中沒有存儲數據
[0777.66-0779.33] 稱為空戰
[0779.33-0780.69] 由於是空戰
[0780.69-0781.73] 因此可認為
[0781.73-0783.33] 該單元既是佔頂
[0783.33-0784.99] 也是佔頂
[0784.99-0789.09] 這是堆戰指針SP出使指向的位置
[0789.09-0791.65] 當數據地齡要入佔時
[0791.65-0794.18] SP的內容會被減1
[0794.18-0795.86] 請同學們注意
[0795.86-0798.66] 與程序記錄器PC減1類似
[0798.66-0799.94] 這裡的減1
[0799.94-0802.94] 是以數據寬度為單位的
[0802.94-0805.81] 這樣SP就指向了佔頂
[0805.81-0807.97] 數據地齡被存入SP
[0807.97-0809.89] 所指向的單元
[0809.89-0810.77] 接下來
[0810.77-0812.77] 數據地齡要入佔
[0812.77-0815.01] SP的內容會被減1
[0815.01-0818.29] 這樣SP就指向了新的佔頂
[0818.29-0820.45] 數據地齡被存入SP
[0820.45-0822.48] 所指向的單元
[0822.48-0823.36] 接下來
[0823.36-0825.28] 數據地齡要入佔
[0825.28-0827.52] SP的內容會被減1
[0827.52-0830.80] 這樣SP就指向了新的佔頂
[0830.80-0832.96] 數據地齡被存入SP
[0832.96-0834.98] 所指向的單元
[0834.98-0838.02] 假設之後要進行出戰操作
[0838.10-0840.74] 後陸戰的數據會先出戰
[0840.74-0843.54] 也就是佔頂的數據先出戰
[0843.54-0844.42] 相應的
[0844.42-0846.58] SP的內容會被加1
[0846.58-0850.22] 這樣SP就指向了新的佔頂
[0850.22-0855.07] 我們將之前出入戰的過程展示如下
[0855.07-0855.95] 至此
[0855.95-0857.71] 我們已經給同學們介紹了
[0857.71-0860.59] 九種常見的操作術尋指方式
[0860.59-0864.56] 和非戰尋指這種特殊的尋指方式
[0864.56-0866.72] 將常見的操作術尋指方式中的
[0866.72-0869.44] 一些尋指方式進行組合
[0869.44-0872.37] 可以得到複合尋指方式
[0872.37-0873.89] 複合尋指方式
[0873.89-0876.53] 主要用於複打指定級計算機
[0876.53-0879.09] 例如英特爾X6體系
[0879.09-0881.25] 常見的複合尋指方式有
[0881.25-0884.62] 相對尋指加間接尋指
[0884.62-0887.50] 也就是先進行相對尋指
[0887.50-0889.66] 得到存放操作術有效地址的
[0889.66-0891.18] 主存單元的地址
[0891.18-0893.74] 然後再進行間接尋指
[0893.74-0896.72] 得到操作術的有效地址
[0896.72-0899.04] 變質尋指加間接尋指
[0899.12-0902.03] 也是常見的複合尋指方式
[0902.03-0904.59] 也就是先進行變質尋指
[0904.59-0906.67] 得到存放操作術有效地址的
[0906.67-0908.35] 主存單元的地址
[0908.35-0910.99] 然後再進行間接尋指
[0910.99-0913.84] 得到操作術的有效地址
[0913.84-0916.40] 還有一種常見的複合尋指方式
[0916.40-0919.73] 就是間接尋指加變質尋指
[0919.73-0922.53] 也就是先進行間接尋指
[0922.53-0925.41] 得到用於變質尋指的偏一量
[0925.41-0927.97] 然後再進行變質尋指
[0928.05-0930.77] 得到操作術的有效地址
[0930.77-0932.37] 請同學們注意
[0932.37-0934.37] 對於不同的指令系統
[0934.37-0936.61] 可能採用了我們所介紹的
[0936.61-0939.10] 尋指方式中的一部分
[0939.10-0941.34] 上一節課和本節課中
[0941.34-0943.98] 我們所介紹的操作術尋指方式
[0943.98-0945.98] 都是單地址指令
[0945.98-0947.74] 對於多地址指令
[0947.74-0949.98] 每個地址字段作用不同
[0949.98-0952.06] 因此每個地址字段
[0952.06-0955.39] 都可能有各自的尋指方式字段
[0955.39-0956.27] 好的
[0956.27-0958.75] 本節課到這裡就結束了
[0958.91-0961.15] 請同學們填寫下標
[0961.15-0964.19] 以便對上節課和本節課介紹的
[0964.19-0972.30] 操作術尋指方式進行總結
[0972.30-0976.70] 希望同學們都能正確完成
[0976.70-0977.58] 同學們
[0977.58-0979.10] 我們下節課見
