[0003.92-0008.08] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0310.22-0314.90] 我們首先根據題目給定的指令系統中部分指令的格式
[0314.98-0319.62] 寫出第三小題,所給指令序列中各指令的具體操作
[0319.62-0323.86] 以便我們分析各指令之間是否存在數據相關
[0323.86-0331.52] 可以發現,指令三與指令一在RE基存器上存在R-A-W相關
[0331.52-0336.56] 指令三與指令二在R-A-W基存器上存在R-A-W相關
[0336.56-0343.46] 題目給定,流水線採用按續發射、按續完成方式
[0343.54-0347.30] 未採用轉發技術,也就是數據旁路技術
[0347.30-0348.82] 處理數據相關
[0348.82-0354.27] 且同一基存器的讀和寫操作不能在同一個時鐘周期內進行
[0354.27-0360.43] 總上所述,需要等到指令一和指令二將結果寫回基存器號
[0360.43-0363.07] 指令三才能讀基存器內容
[0363.07-0366.83] 這就需要將指令三阻塞在一碼公農段
[0366.83-0370.59] 具體做法就是在流水線中插入三個氣泡
[0370.75-0374.11] 也就是三個空操作指令,如讀所示
[0374.11-0385.84] 另外,還可以發現,指令四與指令三在RE基存器上存在R-A-W相關
[0385.84-0394.74] 需要等到指令三將結果寫回基存器號,指令四才能讀基存器內容
[0394.74-0398.56] 這就需要將指令四阻塞在一碼公農段
[0398.56-0403.20] 具體做法就是在流水線中插入三個氣泡,如讀所示
[0403.20-0411.55] 本小題並沒有考察我們這一點
[0411.63-0416.43] 而是考察我們,指令四被阻塞在旗幟功能段的原因
[0416.43-0421.07] 這是因為,指令四的前一條指令被阻塞在一碼公農段
[0421.07-0425.54] 因此,指令四被相應阻塞在旗幟功能段
[0425.54-0430.34] 請同學們注意,本題與課堂教學的給定條件不同
[0430.34-0436.58] 因此,一碼功能段與寫回功能段的R-A-W相關,也必須插入氣泡
[0436.58-0441.22] 也就是說,本題比課堂教學的例子多插入一個氣泡
[0441.22-0443.22] 供需插入三個氣泡
[0443.22-0447.62] 如讀所示,這是我們課堂教學中給同學們介紹過的
[0447.62-0451.06] 通過將CPU10周期進行功能劃分
[0451.06-0455.62] 來解決一碼功能段與寫回功能段的R-A-W衝突
[0455.62-0458.58] 希望同學們能夠理解並記住
[0458.58-0461.63] 還需要說明的是,本題給定的
[0461.63-0465.63] 用於分析R-A-W衝突及其解決方案的時空圖
[0465.63-0470.59] 與我們課堂教學時採用的時空圖,在形式上並不相同
[0470.67-0472.91] 但本質原理是相同的
[0472.91-0477.50] 我們給出本小題按課堂教學時採用的時空圖
[0477.50-0479.74] 這樣可以更清楚地看到
[0479.74-0483.02] 指令3被阻塞在一碼功能段的原因
[0483.02-0486.98] 指令4被阻塞在取之功能段的原因
[0486.98-0490.85] 指令4被阻塞在一碼功能段的原因
[0490.85-0496.21] 好的,在搞懂本大題第三小題的基礎上
[0496.21-0499.97] 請同學們自行完成本大題的第四小題
[0499.97-0502.59] 請同學們暫停播放視頻
[0502.67-0504.59] 務必動手練習一下
[0504.59-0511.86] 希望同學們都能正確完成
[0511.86-0513.70] 我們就不再追溯了
[0513.70-0522.37] 我們將該圖畫成課堂教學時採用的格式
[0522.37-0524.29] 更方便同學們理解
[0524.29-0534.48] 接下來,請同學們挑戰2014年提44的第四小題
[0534.48-0536.88] 請同學們暫停播放視頻
[0536.88-0538.72] 務必動手練習一下
[0538.72-0546.02] 好的,我們來一起分析
[0546.02-0550.90] 我們畫出本題給定的程序段P的指令流水線時空圖
[0551.06-0554.98] 可以看到,指令2,指令3,指令4,指令6
[0554.98-0557.30] 都曾被阻塞在一碼功能段
[0557.30-0559.62] 而指令6是分支指令
[0559.62-0562.74] 存在控制相關,獲成控制冒險
[0562.74-0567.22] 好的,最後我們解釋一下本小題的最後疑問
[0567.22-0569.94] 那就是,為什麼指令1的執行
[0569.94-0573.86] 不會因為與指令5的數據相關而發生阻塞
[0573.86-0579.86] 由於指令6與指令5存在Raw衝突
[0580.02-0583.22] 因此,指令6被阻塞在一碼功能段
[0583.22-0587.14] 需要在流水線中相應插入兩到三個氣泡
[0587.14-0590.02] 因此,在下一輪循環開始後
[0590.02-0592.26] 指令1到達一碼功能段時
[0592.26-0595.94] 上一次循環中的指令5早已從流水線流出
[0595.94-0599.06] 不存在與指令1的Raw衝突
[0599.06-0602.74] 如都所示,這是當前循環中的指令5
[0602.74-0605.70] 而這是下一循環中的指令1
[0605.70-0608.02] 請同學們暫停播放視頻
[0608.02-0614.70] 再好好體會一下
[0614.70-0617.42] 好的,有關指令流水線的部分
[0617.42-0619.74] 就給同學們全部介紹完了
[0619.74-0622.14] 同學們,我們下節課見
