[0003.18-0007.74] 同学们好,欢迎大家来到我的计算机组成原理威克唐
[0331.07-0334.86] 可能满足不了一个大容量存储器的需求
[0334.86-0340.00] 这时可以使用多片SRAM存储级芯片进行扩展
[0340.00-0343.76] 对这两扩展而来的存储器进行访问时
[0343.76-0348.34] 并不是所有的SRAM存储级芯片都会同时工作
[0348.34-0350.58] 通过片线信号C還是
[0350.58-0355.58] 可以很好的解决SRAM存储芯芯片的选择问题
[0355.58-0361.65] 只有片线信号C還是有效的SRAM存储芯芯片才能被访问
[0361.65-0364.53] 对存储器的毒或写操作
[0364.53-0368.80] 需要由写使能控制线WE进行控制
[0368.80-0371.28] 当WE为有效电瓶
[0371.28-0373.60] 也就是低电瓶时
[0373.60-0377.58] 表明要对存储器进行写操作
[0377.66-0380.14] 当WE为无效电瓶
[0380.14-0382.46] 也就是高电瓶时
[0382.46-0386.13] 表明可以从存储器读取信息
[0386.13-0390.37] 在同学们了解了SRAM存储器的结构之后
[0390.37-0394.69] 我们给出两个SRAM存储芯片的实力
[0394.69-0400.77] 这是在20世纪七四年代末期到80年代初期被广泛使用的
[0400.77-0407.92] 由Intel公司推出的一款1K x 4位的SRAM存储器芯片2114
[0407.92-0411.04] 这是该芯片的内部结构图
[0411.04-0416.26] 与我们之前刚刚介绍过的SRAM存储器的结构相似
[0416.26-0419.68] 行地指线A3到A8共6条
[0419.68-0421.28] 可有2的6次方
[0421.28-0425.36] 也就是64条行一码输出线
[0425.36-0427.76] 列地指线A0到A2
[0427.76-0430.56] 以及A9共4条
[0430.56-0432.32] 可有2的4次方
[0432.32-0436.18] 也就是16条列一码输出线
[0436.18-0441.25] 满足存储阵列64 x 16的二维结构
[0441.25-0443.57] 这些是缓冲器的符号
[0443.57-0447.65] 他们的主要功能是增强信号的驱动能力
[0447.65-0453.79] 相当于我们之前刚刚介绍过的行驱动器和列驱动器的作用
[0453.79-0456.77] 这些是三泰门的符号
[0456.77-0460.69] 学习过数点课程的同学对其并不陌生
[0460.69-0463.49] 没学过的同学也不用担心
[0463.49-0466.85] 因为三泰门的使用非常简单
[0466.93-0468.85] 这些三泰门的作用是
[0468.85-0474.13] 控制IO1到IO4这4条数据线的传输方向
[0474.13-0476.14] 我们来几例说明
[0476.14-0480.30] 当骗选银角CS输入有效电瓶时
[0480.30-0482.62] 该芯片被选中工作
[0482.62-0486.06] CS的上华线表明低电瓶有效
[0486.06-0489.18] 因此输入的有效电瓶为低电瓶
[0489.18-0491.57] 我们用0来表示
[0491.57-0494.37] 假设我们要进行写入操作
[0494.45-0495.37] 因此
[0495.37-0499.52] 显示能银角WE输入有效电瓶
[0499.52-0501.68] 上面的鱼门输出1
[0501.68-0503.92] 下面的鱼门输出0
[0503.92-0505.68] 请同学们注意
[0505.68-0508.04] 鱼门输入银角上的小圆圈
[0508.04-0510.82] 可简单认为是飞门
[0510.82-0512.54] 上面鱼门的输出1
[0512.54-0517.14] 传送到其上方的四个三泰门各自的控制端
[0517.14-0522.10] 这会导致这四个三泰门的输入与输出联通
[0522.10-0523.90] 下面鱼门的输出0
[0523.94-0528.46] 传送到其右侧的四个三泰门各自的控制端
[0528.46-0532.94] 这会导致这四个三泰门的输入与输出断开
[0532.94-0535.38] 输出为高阻碳
[0535.38-0541.34] 可简单认为这四条输出线与IOW线断开连接
[0541.34-0546.34] 此时可给IOW线输入要写入存储体的数据
[0546.34-0550.98] 可见CS和WE都输入有效信号时
[0550.98-0553.92] 是进行写入控制
[0553.92-0556.17] 再来看独起控制
[0556.17-0558.57] CS输入有效电瓶
[0558.57-0561.32] 该芯片被选中工作
[0561.32-0564.00] WE输入无效电瓶
[0564.00-0566.91] 也就是不进行写操作
[0566.91-0568.79] 上面的鱼门输出0
[0568.79-0571.05] 下面的鱼门输出1
[0571.05-0572.73] 上面鱼门的输出0
[0572.73-0577.66] 传送到其上方的四个三泰门各自的控制端
[0577.66-0582.60] 这会导致这四个三泰门的输入与输出断开
[0582.60-0584.36] 下面鱼门的输出1
[0584.36-0588.80] 传送到其右侧的四个三泰门各自的控制端
[0588.80-0594.10] 这会导致这四个三泰门的输入与输出联通
[0594.10-0603.31] 此时内部IOW电路与外部IOW线联通
[0603.31-0604.11] 好的
[0604.11-0610.43] 这就是Intern 2114S-ROM存储机芯片的内部结构和原理
[0610.43-0614.11] 需要说明的是这块芯片早已停产
[0614.11-0616.90] 市场上几乎也找不到了
[0616.90-0621.22] 接下来在给同学们介绍一款S-ROM存储机芯片
[0621.22-0622.54] 如读所示
[0622.54-0630.42] 这是一片由北京西城半导体有限公司SSI出品的S-ROM存储机芯片
[0630.42-0632.34] 这是制作本课程时
[0632.34-0637.44] 我在异畅商城查询到的该芯片的采购价格
[0637.44-0639.24] 早在2006年呢
[0639.24-0641.84] 我在制作一款ARM开发版时
[0641.84-0645.08] 就采用了该S-ROM存储机芯片
[0645.12-0650.16] 当时小批量的采购价格为21块钱人民币每个
[0650.16-0651.36] 那这样看来呢
[0651.36-0655.60] 这么多年过去了该芯片的价格几乎没变
[0655.60-0660.32] 这块芯片的存储容量为256K成16位
[0660.32-0663.28] 也就是512K字节
[0663.28-0666.01] 也就是0.5兆字节
[0666.01-0670.45] 而现在一条8G字节容量的DDR4内存条的价格
[0670.45-0673.31] 甚至不足100元人民币
[0673.35-0676.47] 是该S-ROM芯片价格的四倍多
[0676.47-0681.11] 但是容量确实该芯片的16000倍
[0681.11-0686.98] 这也证明了S-ROM存储机芯片比DDRAM存储机芯片贵的多
[0686.98-0691.02] 做过签论式系统硬件开发的同学应该有所体会
[0691.02-0694.38] 要为系统硬件设计选行芯片
[0694.38-0696.98] 则阅读芯片的数据手册
[0696.98-0701.22] 也就是我们常说的data sheet是必不可少的
[0701.22-0703.18] 通过芯片的数据手册
[0703.18-0707.02] 我们主要了解芯片的内部结构框图
[0707.02-0711.46] 同学们是否发现了该S-ROM存储机芯片的内部结构
[0711.46-0715.74] 与我们之前介绍的S-ROM存储机结构是相似的
[0715.74-0720.76] 只是地址线、数据线、控制线等有所增加
[0720.76-0722.80] 通过芯片的帧值表
[0722.80-0725.72] 我们就能掌握芯片的使用方法
[0725.72-0732.08] 也就是地址线、数据线、控制线之间的逻辑操作关系
[0732.08-0733.92] 需要同学们注意的是
[0733.96-0736.48] 每个型号的S-ROM存储机芯片
[0736.48-0739.72] 有其特定的读写周期特性
[0739.72-0743.20] 只有按照其读写周期去访问芯片
[0743.20-0746.45] 才能保证读写操作的正确性
[0746.45-0752.76] 例如这是该芯片的两种读操作模式的读周期实序图
[0752.76-0756.77] 做硬件开发的同学应该并不陌生
[0756.77-0758.33] 除以上内容外
[0758.33-0761.73] 我们还需要关注芯片的电源特性
[0761.73-0768.08] 例如最大工作电压、供电电流、工作温度范围
[0768.08-0773.14] 例如是商业应用环境还是工业应用环境
[0773.14-0774.90] 直流电器特性
[0774.90-0779.85] 例如高电瓶和低电瓶各自的范围
[0779.85-0782.69] 最后还要知道芯片的封装
[0782.69-0785.99] 以便正确汇制PCB
[0785.99-0790.38] 接下来请同学们完成几个练习题
[0790.38-0793.18] 请同学们暂停播放视频
[0793.18-0795.10] 务必动手练习一下
[0795.10-0802.21] 然后给出你的答案
[0802.21-0804.97] 相信同学们都能正确完成
[0804.97-0807.30] 我们就不再坠述了
[0807.30-0808.18] 好的
[0808.18-0810.70] 本节课到这里就结束了
[0810.70-0817.36] 我们将本节课的内容小节如下
[0817.36-0819.48] 同学们我们下节课见
