[0003.50-0008.02] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0882.31-0888.71] 至此,取指阶段的第三步操作结束,整个取指阶段也就结束了。
[0888.71-0898.92] 我们将其记录如下,以上三个步骤中,给出的控制信号序列,就是本小题第一问要求我们回答的问题。
[0899.59-0905.35] 本小题第二问要求我们给出,取指阶段所需的最小时钟周期的数量。
[0905.35-0914.06] 题目给定,从发出主存读命令到主存读出数据,并传送到MBR供需5个时钟周期。
[0914.06-0920.14] 也就是说,题目给定,第二步所执行操作需要5个时钟周期。
[0920.14-0925.03] 对于第一步所执行操作,至少需要1个时钟周期。
[0925.19-0929.51] 第三步所执行操作,至少需要1个时钟周期。
[0929.51-0936.95] 因为这两个步骤中,都需要使用一次CPU内部单总线,为避免单总线数据冲突。
[0936.95-0940.31] 每个时钟周期只能使用一次单总线。
[0940.31-0945.46] 从上所述,取指阶段至少需要7个时钟周期。
[0945.46-0949.66] 至此,本大题的第四小题解析完毕。
[0949.66-0952.68] 再来分析本大题的第五小题。
[0953.75-0959.27] 本小题第一问要求我们回答,图中控制信号有什么部件产生?
[0959.27-0965.93] 通过之前李永克的学习,我们知道,控制信号是由控制部件CPU产生的。
[0965.93-0976.81] 在本题所给的硬件框图中,仅给出了将指令计存器R的内容,也就是所取道的指令,送控制部件CPU等的提示信息。
[0976.81-0982.89] 并为明确画出具体的控制部件CPU及其产生的相关控制信号。
[0983.05-0985.61] 一边留在这一问进行考察。
[0985.61-0994.25] 本小题第二问要求我们回答,图中哪些计存器的输出信号会连接到控制部件CPU的输入端?
[0994.25-1003.51] 从本题所给的硬件框图可以看出,指令计存器R的输出信号会连接到控制部件CPU的输入端。
[1003.51-1010.98] 可能很多同学会忽视另一个计存器,那就是题目所给的标志计存器FR。
[1011.14-1016.10] 也就是我们之前介绍过的程序状态字计存器PSW。
[1016.10-1021.19] 它的输出信号也会连接到控制部件CPU的输入端。
[1021.19-1026.94] 这是我们在之前的理论课中,举例时所采用的硬件框图。
[1026.94-1034.57] 可以看到,指令计存器R的输出信号经过指令一码器一码输出的操作控制器。
[1034.57-1041.05] 可认为,本题中的控制部件CPU就包含了指令一码器和操作控制器。
[1041.54-1048.02] 另外,程序状态字计存器PSW的输出信号也连接到了操作控制器。
[1048.02-1054.17] 好的,我们将彭小提第二问的回答记录如下。
[1054.17-1058.17] 至此,这道综合大题全部解析完毕。
[1058.17-1062.02] 好的,本节课到这里就结束了。
[1062.02-1064.50] 同学们,我们下节课见!
