[0003.44-0007.44] 同学们好,欢迎大家来到我的计算机组成原理微课堂。
[0566.68-0569.81] 要完成每个节拍,所要执行的操作。
[0569.81-0573.84] 需要操作控制器产生相应的控制信号。
[0573.84-0579.84] 例如,这是LW指令取指周期的第一个节拍,所需要的相关控制信号。
[0579.84-0582.84] 一般情况下,值为一表示信号有效。
[0582.84-0589.97] 又例如,这是LW指令取指周期的第二个节拍,所需要的相关控制信号。
[0589.97-0593.97] 这是后续各节拍所需要的相关控制信号。
[0593.97-0602.47] 需要说明的是,为了简单起见,值为零的控制信号在该图中并未给出。
[0602.47-0607.47] 接下来,我们将LW指令取指周期的第一个节拍所要执行的操作,
[0607.47-0611.47] 在这幅基于CPU内部单种线结构的图中进行演示。
[0611.47-0616.50] 这是该节拍执行操作所需的相关控制信号。
[0616.50-0619.54] 它们是由CPU内部的操作控制器产生的。
[0619.54-0625.54] 由于控制信号PC OUT为有效信号,因此其所控制的三台门打开。
[0625.54-0632.54] 这样,程序基础器PC的内容,就会通过该三台门传送到CPU内部单种线上。
[0632.54-0640.54] 经过单种线的传送,PC的内容会传送到CPU内部与单种线相连的所有继存器,
[0640.54-0648.66] 以及算数逻辑单元LU的其中一个操作数输入端,由于控制信号MARIN为有效信号。
[0648.66-0656.66] 因此,在该节拍中,当CPU实用信号的上层言到来时,CPU内部单种线上传送来的内容,
[0656.66-0660.66] 会被写入存主器地址基存器MAR。
[0660.66-0669.79] 同理,由于控制信号XIN为有效信号,因此,在该节拍中,当CPU实用信号的上层言到来时,
[0669.79-0675.79] CPU内部单种线上传送来的内容,会被写入暂存基存器X。
[0675.79-0680.89] 此时,MAR和XIN的内容都是PC的值。
[0680.89-0687.89] MAR的内容,还会通过CPU外部的地址总线传送到主存的地址输入端。
[0687.89-0694.24] XIN的内容,会传送到ALU的另一个操作数输入端。
[0694.24-0700.24] 至此,就完成了LW指定取指周期的第一个节拍,所需要执行的操作。
[0700.24-0705.34] 之后,进入LW指定取指周期的第二个节拍。
[0705.34-0713.66] 我们将该节拍所要执行的操作,在这处基于CPU内部单种线结构的图中进行掩饰。
[0713.66-0717.66] 这是该节拍执行操作所需的相关控制信号。
[0717.66-0720.66] 它们是由CPU内部的操作控制器产生的。
[0720.66-0727.69] 由于,通过CPU外部的控制总线传送到主存独控制端口的控制信号为有效信号,
[0727.69-0734.69] 因此,根据之前主存地址输入端所送入的地址,也就是程序技术器PC的值,
[0734.69-0741.69] 相应存储单元的内容,从主存的数据书书端输出到CPU外部的数据总线,
[0741.69-0747.69] 并从数据总线传送到CPU内部的存储器数据基存器MDR。
[0747.69-0753.94] 由于控制信号MDR硬E为有效信号,因此,在该节拍中,
[0753.94-0761.94] 当CPU实用信号的上升延到来时,CPU外部的数据总线上传送来的内容会被写入MDR。
[0761.94-0766.94] 此时,MDR中的内容就是从主存中取出的指令。
[0766.94-0774.07] 与此同时,由于算数逻辑单元ALU的加4控制端为有效信号,
[0774.07-0782.07] 因此,ALU来自暂存基存器X的操作数,也就是之前送入的程序技术器PC的值,
[0782.07-0789.46] 会与4进行加法运算。运算结果会送入暂存基存器Z进行暂存。
[0789.46-0796.74] 具体内容为PC的值加上4,这实际上是下一条指令的主存地址。
[0796.74-0803.74] 加4的原因是MPS32采用32位,也就是4字节定长指令系统,
[0803.74-0809.94] 也就是每条指令的程度都是4字节的,并且主存按字节编制。
[0809.94-0817.32] 这次就完成了ALU指令取指周期的第二个节拍所需要执行的操作。
[0817.32-0824.38] 此时,存主器数据基存器MDR中的内容,就是从主存周取出的指令。
[0824.38-0829.80] 暂存基存器Z中的内容,就是下一条指令的主存地址。
[0829.80-0833.80] 之后,进入ALUW指令取指周期的第三节拍。
[0833.80-0840.83] 我们将该节拍所要执行的操作在这幅基于CPU内部单总线结构的图中进行演示。
[0840.83-0844.83] 这是该节拍执行操作所需的相关控制信号。
[0844.83-0847.90] 他们是由CPU内部的操作控制器产生的。
[0847.90-0853.90] 由于控制信号ZOUT为有效信号,因此其所控制三代门打开。
[0853.90-0860.93] 这样,暂存基存器Z内容,就会通过该三代门传送到CPU内部单总线上。
[0860.93-0868.93] 经过单总线的传送,Z内容会传送到CPU内部与单总线相连的所有基存器,
[0868.93-0872.93] 以及算数逻辑单元ALU的其中一个操作数输入端。
[0872.93-0878.96] 由于控制信号PCIN为有效信号,因此在该节拍中,
[0878.96-0886.96] 当CPU适中信号的上升演到来时,CPU内部单总线上传送来的内容会被写入程序技术器PC。
[0886.96-0893.96] 此时,PC中的内容为PC之前的值加4,也就是下一条指定的主存地址。
[0893.96-0899.96] 这次就完成了ALAW指定取指周期的第三个节拍所需要执行的操作。
[0899.96-0904.96] 此时,程序技术器PC指向了主存中的下一条指定,
[0904.96-0911.99] 而存主器数据基存器MDR中的内容仍是之前从主存中取出的指定。
[0911.99-0915.99] 之后,进入ALAW指定取指周期的第四个节拍。
[0915.99-0922.99] 我们将该节拍所要执行的操作在这幅基于CPU内部单总线结构的图中进行演示。
[0922.99-0926.99] 这是该节拍执行操作所需的相关控制信号。
[0926.99-0934.06] 它们是由CPU内部的操作控制器产生的,由于控制信号MDR OUT为有效信号。
[0934.06-0941.06] 因此,其所控制的三台门打开,这样存主器数据基存器MDR的内容,
[0941.06-0945.06] 就会通过该三台门传送到CPU内部单总线上。
[0945.06-0953.06] 经过单总线的传送,MDR的内容会传送到CPU内部与单总线相连的所有基存器,
[0953.06-0961.09] 以及算数逻辑单元ALU的其中一个操作数输入端,由于控制信号ARIN为有效信号。
[0961.09-0971.09] 因此,在该节拍中,当CPU时钟信号的上升延到来时,CPU内部单总线上传送来的内容会被写入指定基存器AR。
[0971.09-0976.09] 此时,AR中的内容为之前从主存取出的那条指定,
[0977.09-0985.28] 之此,就完成了曲纸周期四个节拍各自所执行的全部操作,最终取到了指定。
[0985.28-0989.28] 指定经过指定一码七零一码,送入操作控制器,
[0989.28-0993.28] 以便为后续操作产生相应的控制信号序列。
[0993.28-1001.57] 这部分内容,我们将在本章有关控制器的几次课中进行聚集业试,本节课不深入展开。
[1001.57-1007.66] 另外,指定中RX字段,RT字段,RT字段各自的值,
[1007.66-1012.66] 会传送到基存器组的相关多录选择器的相应输入端。
[1012.66-1018.66] 需要说明的是,在MIPS32指定中,RX通常作为第一个圆基存器,
[1018.66-1021.66] 用于提供指定操作的第一个操作数。
[1021.66-1026.66] RT既可以作为第二个圆基存器来提供第二个操作数,
[1026.66-1031.82] 也可以作为目标基存器来存放某些指令执行后的结果。
[1031.82-1036.82] 在大多数MIPS指令中,RT通常作为目标基存器,
[1036.82-1040.21] 用于存放指令执行后的结果。
[1040.21-1044.21] 对于LW指令,技存器组的两个多录选择器,
[1044.21-1047.21] 各自的选择输出控制端的控制信号为零,
[1047.21-1052.21] 因此,他们各自零号端口的输入被选择输出。
[1052.21-1057.21] 同样,RX自动的值被送入技存器组的R警号端口,
[1057.21-1059.21] 作为输出技存器的编号。
[1059.21-1063.21] RT自动的值被送入技存器组的W警号端口,
[1063.21-1066.34] 作为写入技存器的编号。
[1066.34-1069.34] 我们再来核对一下LW指令的操作描述,
[1069.34-1074.34] 可以看到,编号为RX的通用技存器作为圆基存器,
[1074.34-1078.34] 用于提供操作数,是输出技存器,
[1078.34-1081.34] 编号为RT的通用技存器作为目标技存器,
[1081.34-1085.34] 用于存放从主存中取到的操作数。
[1085.34-1087.46] 经过之前的演示,可以看出,
[1087.46-1092.46] 在LW指令的取指轴期,使用了两条数据通路,
[1092.46-1098.53] 一条数据通路用于从主存取出指令到指令技存期R,
[1098.53-1103.66] 另一条数据通路用于计算并更新程序技术器PC的值,
[1103.66-1106.66] 以便PC指向下一条指令。
[1106.66-1109.85] 接下来,进入LW指令的计算轴期,
[1109.85-1114.01] 以便计算操作数的有效地质。
[1114.01-1118.01] 首先,进入的是LW指令的计算轴期的第一个节拍,
[1118.01-1121.10] 我们将该节拍所要执行的操作,
[1121.10-1126.33] 在这幅基于CPU内部单总线结构的图中进行演示。
[1126.33-1130.33] 这是该节拍执行操作所需的相关控制信号,
[1130.33-1133.33] 它们是由CPU内部的操作控制器产生的,
[1133.33-1137.49] 由于控制信号ROUT为有效信号,
[1137.49-1140.49] 因此即所控制的三太门打开。
[1140.49-1143.49] 这样,编号为RS的通用基存器,
[1143.49-1148.49] 即内容就会通过该三太门传送到CPU内部单总线上。
[1148.49-1150.68] 经过单总线的传送,
[1150.68-1153.68] 编号为RS的通用基存器的内容,
[1153.68-1157.68] 会传送到CPU内部与单总线相连的所有基存器,
[1157.68-1161.68] 以及算数逻辑单元LU的其中一个操作数输入端,
[1161.68-1165.74] 由于控制信号XIN为有效信号,
[1165.74-1167.74] 因此在该节拍中,
[1167.74-1170.74] 当CPU时终信号的上升延到来时,
[1170.74-1173.74] CPU内部单总线上传送来的内容,
[1173.74-1176.74] 会被写入暂存基存器X,
[1176.74-1180.74] 至此就完成了LW指令计算周期的第一个节拍,
[1180.74-1182.74] 所需要执行的操作。
[1182.74-1185.78] 此时,暂存基存器X的内容,
[1185.78-1188.78] 就是编号为RS的通用基存器的内容,
[1188.78-1194.78] 并被送入算数逻辑单元LU的其中一个操作数输入端。
[1194.78-1198.78] 之后,进入LW指令计算周期的第二个节拍。
[1198.78-1201.78] 我们将该节拍所要执行的操作,
[1201.78-1206.81] 在这幅基于CPU内部单总线结构的图中进行演示。
[1206.81-1210.81] 需要说明的是,在本节拍所执行的操作中,
[1210.81-1215.81] 首先需要将指令中的16位立即数imm进行符号扩展,
[1215.81-1218.81] 扩展为32位有符号数。
[1218.81-1221.81] 这需要由相应的印件来完成。
[1221.81-1224.81] 在本图中为了简单起见,并未画出。
[1224.81-1231.03] 我们仅用IR困号i来表示扩展后的32位有符号数。
[1231.03-1235.03] 这是该节拍执行操作所需的相关控制信号。
[1235.03-1238.03] 它们是由CPU内部的操作控制器产生的,
[1238.03-1242.16] 由于控制信号IROUT为有效信号,
[1242.16-1245.16] 因此其所控制的三台门打开。
[1245.16-1250.16] 这样,指令中已被扩展为32位的有符号立即数,
[1250.16-1254.19] 就会通过该三台门传送到CPU内部单总线上。
[1254.19-1256.19] 经过单总线的传送,
[1256.19-1258.19] 32位有符号立即数,
[1258.19-1263.19] 会传送到CPU内部与单总线相连的所有计存器,
[1263.19-1267.19] 以及算数逻辑单元LU的其中一个操作数输入端,
[1267.19-1271.32] 由于LU的IRD控制端为有效信号,
[1271.32-1275.32] 因此LU将32位有符号立即数,
[1275.32-1278.32] 与来自暂存计存器X的操作数,
[1278.32-1282.32] 也就是之前送入的编号为RS的通用计存器的内容,
[1282.32-1284.32] 进行加法运算,
[1284.32-1288.32] 运算结果会送入暂存计存器Z进行暂存。
[1288.32-1293.32] 至此,就完成了LW指令计算周期的第二个解拍,
[1293.32-1295.32] 所需要执行的操作,
[1295.32-1297.42] 计算周期结束。
[1297.42-1299.42] 此时,暂存计存器Z的内容,
[1299.42-1302.42] 就是编号为RS的通用计存器的内容,
[1302.42-1307.42] 与指令中已被扩展为32位有符号立即数的加法结果,
[1307.42-1312.51] 这实际上就是指令中的原操作数的主存地址。
[1312.51-1314.51] 经过之前的演示,可以看出,
[1314.51-1319.51] 这是LW指令的计算周期所使用的数据通路,
[1319.51-1322.51] 相信同学们都能看懂,我们就不再坠述了。
[1322.51-1326.64] 接下来,进入LW指令的执行周期,
[1326.64-1330.64] 以便将主存指定地址处的32位存储字,
[1330.64-1333.70] 读取到编号为RT的通用计存器。
[1333.70-1337.70] 首先进入的是LW指令的执行周期的第一个解拍,
[1337.70-1340.70] 我们将该解拍所要执行的操作,
[1340.70-1344.70] 在这幅基于CPU内部单走线结构的图中进行演示,
[1344.70-1348.74] 这是该解拍执行操作所需要的相关控制信号,
[1348.74-1352.80] 它们是由CPU内部的操作控制器产生的,
[1352.80-1355.80] 由于控制信号ZOUT为有效信号,
[1355.80-1358.80] 因此,即所控制的三太门打开,
[1358.80-1361.80] 这样,暂存基存器Z的内容,
[1361.80-1364.80] 也就是指令中原操作数的主存地址,
[1364.80-1369.80] 就会通过该三太门传送到CPU内部单走线上,
[1369.80-1371.80] 经过单走线的传送,
[1371.80-1373.80] 原操作数的主存地址,
[1373.80-1378.80] 会传送到CPU内部与单走线相连的所有基存器,
[1378.80-1382.80] 以及算数逻辑单元LU的其中一个操作数输入端,
[1382.80-1386.90] 由于控制信号MAR-IN为有效信号,
[1386.90-1388.90] 因此,在该解拍中,
[1388.90-1391.90] 当CPU时钟信号的上升颜到来时,
[1391.90-1394.90] CPU内部单走线上传送来的内容,
[1394.90-1397.90] 会被写入存主器地址基存器MAR,
[1397.90-1404.93] 这次就完成了LW指令执行周期的第一个解拍所需要执行的操作,
[1404.93-1409.06] 此时,存主器地址基存器MAR的内容,
[1409.06-1412.06] 就是指令中原操作数的主存地址,
[1412.06-1414.18] MAR的内容,
[1414.18-1416.18] 还会通过CPU外部的地址总线,
[1416.18-1419.18] 传送到主存的地址输入端,
[1419.18-1423.25] 之后,进入LW指令执行周期的第二个解拍,
[1423.25-1426.41] 我们将该解拍所要执行的操作,
[1426.41-1430.41] 在这幅基于CPU内部单走线结构的图中进行掩饰,
[1430.41-1435.79] 这是该解拍执行操作所需的相关控制信号,
[1435.79-1438.79] 它们是由CPU内部的操作控制器产生的,
[1438.79-1442.02] 由于通过CPU外部的控制总线,
[1442.02-1446.02] 传送到主存足控制端口的控制信号为有效信号,
[1446.02-1451.02] 因此,根据之前主存地址输入端所送入的地址,
[1451.02-1455.02] 也就是指令中原操作数的主存地址,
[1455.02-1457.02] 相应存主单元的内容,
[1457.02-1461.02] 从主存的数据输出端输出到CPU外部的数据总线,
[1461.02-1467.02] 并从数据总线传送到CPU内部的存储器数据基存器MDR,
[1467.02-1471.24] 由于控制信号MDE为有效信号,
[1471.24-1474.24] 因此,在该解拍中,
[1474.24-1477.24] 当CPU谁中信号的上升言到来时,
[1477.24-1482.37] CPU外部的数据总线上传送来的内容会被写入MDR,
[1482.37-1488.37] 这次就完成了LW指令执行周期的第二个解拍所需要执行的操作,
[1488.37-1492.50] 此时,存儲器数据基存器MDR中的内容,
[1492.50-1496.50] 就是从主存中取出的指令的原操作数,
[1496.50-1501.50] 之后进入LW指令执行周期的第三个解拍,
[1501.50-1504.50] 我们将该解拍所要执行的操作,
[1504.50-1508.59] 在这幅基于CPU内部单总线结构的图中进行演示,
[1508.59-1512.59] 这是该解拍执行操作所需要的相关控制信号,
[1512.59-1516.72] 它们是由CPU内部的操作控制器产生的,
[1516.72-1520.98] 由于控制信号MDR OUT为有效信号,
[1520.98-1523.98] 因此其所控制的三台门打开,
[1523.98-1527.98] 这样存儲器数据基存器MDR的内容,
[1527.98-1529.98] 就是指令中的原操作数,
[1529.98-1531.98] 就会通过该三台门,
[1531.98-1534.98] 传送到CPU内部单总线上,
[1534.98-1536.98] 经过单总线的传送,
[1536.98-1537.98] MDR的内容,
[1537.98-1541.98] 会传送到CPU内部与单总线相连的所有技能器,
[1541.98-1545.98] 以及算数逻辑单元ALU的其中一个操作数输入端,
[1545.98-1550.07] 由于控制信号而硬为有效信号,
[1550.07-1552.07] 因此,在该解拍中,
[1552.07-1555.07] 当CPU时中信号的上伸演到来时,
[1555.07-1558.07] CPU内部单总线上传送来的内容,
[1558.07-1561.07] 会被写入变号为RT的通用基存器,
[1561.07-1564.07] 这次就完成了LW指令,
[1564.07-1567.07] 执行周期的第三个解拍所需要执行的操作,
[1567.07-1571.07] 此时,变号为RT的通用基存器的内容,
[1571.07-1575.07] 就是从主存指定地址处读取到的32位存储字,
[1575.07-1578.14] 经过之前的演示可以看出,
[1578.14-1582.14] 这是LW指定的执行周期所试用的数据通路,
[1582.14-1584.14] 相信同学们都能看懂,
[1584.14-1586.14] 我们就不再证述了,
[1586.14-1589.36] 这次LW指定的执行周期,
[1589.36-1593.36] 包括举止周期、计算周期、执行周期,
[1593.36-1595.36] 全部结束。
[1595.36-1596.58] 接下来,
[1596.58-1599.58] 我们再给同学们介绍几条MIPS32指定,
[1599.58-1601.68] 这是SW指定,
[1601.68-1604.68] 其功能是将通用基存器RT的内容,
[1604.68-1607.68] 写入指定的主存单元,
[1607.68-1610.97] 这是SW指定周期的各个解拍,
[1610.97-1612.97] 所要执行的操作,
[1612.97-1614.97] 及其所需要的控制信号,
[1614.97-1618.06] 对比之前介绍的LW指定,
[1618.06-1619.06] 可以发现,
[1619.06-1620.06] SW指定,
[1620.06-1624.06] 仅执行周期的操作与LW指定不同,
[1624.06-1626.06] 请同学们将其带入之前的,
[1626.06-1629.06] 基于CPU内部单种线结构的图中,
[1629.06-1630.06] 进行分析,
[1630.58-1632.58] 这是BEQ指定,
[1632.58-1633.58] 其功能是,
[1633.58-1636.58] 比较通用基存器RS和RT的值,
[1636.58-1637.58] 如果相等,
[1637.58-1639.58] 则进行分支跳转,
[1639.58-1642.61] 我们对这部分操作进行简要说明,
[1642.61-1645.70] BEQ指定中的立即数IMM,
[1645.70-1647.70] 表示分支目标地址,
[1647.70-1650.70] 相对下一条指定的指定条数,
[1650.70-1651.70] 经过之前,
[1651.70-1653.70] 对LW指定执行流程的分析,
[1653.70-1654.70] 我们知道,
[1654.70-1656.70] 在当前指定的取取阶段,
[1656.70-1658.70] 程序记住器PC的值,
[1658.70-1661.70] 会被更新为PC的值加上4,
[1661.70-1664.90] 将IMM进行符号扩展,
[1664.90-1666.90] 扩展为32位有符号数,
[1666.90-1669.90] 然后将其左移两位,
[1669.90-1671.90] 这相当于乘以4,
[1671.90-1675.02] 目的是计算出字节偏一辆,
[1675.02-1677.02] 再加上PC的值加上4的结果,
[1677.02-1680.02] 就得出了分支目标地址,
[1680.02-1681.22] 需要说明的是,
[1681.22-1682.22] 上次操作,
[1682.22-1685.22] 仅简单地利用RL OZ信号,
[1685.22-1688.22] 控制立即数输出的CPU内部总线,
[1688.22-1690.22] 相关硬件逻辑,
[1690.22-1692.44] 并未在图中给出,
[1692.44-1694.44] 这是BEQ指定周期的各个节拍,
[1694.44-1696.44] 需要执行的操作,
[1696.44-1698.44] 及其所需要的控制信号,
[1698.44-1701.44] 请同学们将其带入之前的,
[1701.44-1703.44] 基于CPU内部单总线结构的图中,
[1703.44-1705.95] 进行分析,
[1705.95-1707.95] 这是ADDI决定,
[1707.95-1710.95] 其功能是将通用计准器RS的内容,
[1710.95-1713.95] 与立即数IMM相加,
[1713.95-1715.95] 结果送入通用计准器RT,
[1715.95-1719.02] 这是ADDI决定周期的各个节拍,
[1719.02-1721.02] 需要执行的操作,
[1721.02-1723.02] 及其所需要的控制信号,
[1723.02-1725.02] 请同学们将其带入之前的,
[1725.02-1728.02] 基于CPU内部单总线结构的图中,
[1728.02-1729.02] 进行分析,
[1729.02-1731.18] 这是ADDI决定,
[1731.18-1734.18] 其功能是将通用计准器RS的内容,
[1734.18-1737.18] 与通用计准器RT的内容相加,
[1737.18-1740.18] 结果送入通用计准器RT,
[1740.34-1742.34] 这是ADDI指定周期的各个节拍,
[1742.34-1744.34] 需要执行的操作,
[1744.34-1746.34] 及其所需要的控制信号,
[1746.34-1749.34] 请同学们将其带入之前的,
[1749.34-1752.34] 基于CPU内部单总线结构的图中,
[1752.34-1753.34] 进行分析,
[1753.34-1756.56] 我们将上述5条MIF32指令,
[1756.56-1758.56] 及指定周期的各节拍,
[1758.56-1759.56] 所执行的操作,
[1759.56-1761.82] 画在一张图中,
[1761.82-1762.82] 可以发现,
[1762.82-1765.82] 每条指令的取决周期完全相同,
[1765.82-1767.94] 这是RW指令,
[1767.94-1768.94] SW指令,
[1768.94-1769.94] BQ指令,
[1769.94-1771.94] 各自的计算周期,
[1771.94-1773.94] 及其所包含的各节拍,
[1773.94-1774.94] 所要执行的操作,
[1774.94-1778.10] 对于ADDI指令和ADD指令,
[1778.10-1780.10] 没有计算周期,
[1780.10-1782.36] 这是每条指令的执行周期,
[1782.36-1784.36] 及其所包含的各节拍,
[1784.36-1786.36] 所要执行的操作,
[1786.36-1788.62] 在单总线结构中,
[1788.62-1789.62] 最慢的数据通路,
[1789.62-1791.62] 是仿存通路,
[1791.62-1792.62] 例如,
[1792.62-1794.62] 每条指令的取决周期的第二节拍,
[1794.62-1796.62] 就包含有仿存通路,
[1796.62-1799.71] RW指令的执行周期的第二节拍,
[1799.71-1801.71] 包含有仿存通路,
[1801.71-1804.71] SW指令的执行周期的第三节拍,
[1804.71-1806.71] 包含有仿存通路,
[1806.71-1807.87] 另外,
[1807.87-1808.87] 运算通路,
[1808.87-1810.87] 也是最慢的数据通路,
[1810.87-1811.87] 例如,
[1811.87-1814.87] 每条指令的取决周期的第二节拍,
[1814.87-1816.87] 就包含有运算通路,
[1816.87-1818.06] RW指令,
[1818.06-1819.06] SW指令,
[1819.06-1820.06] BEQ指令,
[1820.06-1822.06] 各自的计算周期的第二节拍,
[1822.06-1824.06] 包含有运算通路,
[1824.06-1826.16] BEQ指令,
